Parameters for equation: a1*exp(-t/tau1) + a2*exp(-t/tau2)
                     or  a*ar*exp(-t/tau1) + a*(1-ar)*exp(-t/tau2)
                   a*ar=a1 ,  a*(1-ar) = a2 ,  ar = a1/(a1+a2) ,  a = a1 + a2

   iat = 2.70317   t0 = 11000

 Experimental: 
   RMS(i_sim*iat vs i_exp) = 9.56069e-05   tau1 = 133.75   tau2 = 666.6   a = 1   ar = 0.42   a1 = 0.42   a2 = 0.58

 LevMar Fitting: 
   RMS(i_sim/a vs i_fit/a) = 3.49621e-07   tau1 = 169.194   tau2 = 550.558   a = 0.274708   ar = 0   a1 = 0   a2 = 0.274708

 t-t0  ,  i_exp/iat  ,  i_sim  ,  i_fit  ,  ,  i_exp  ,  i_sim*iat  ,  i_fit*iat  ,  ,  i_exp/iat/a  ,  i_sim/a  ,  i_fit/a
140 , 0.228467 , 0.211715 , 0.213027 ,  ,  0.617584 , 0.572303 , 0.57585 ,  ,  0.831671 , 0.770693 , 0.775469 , 
178.6 , 0.205007 , 0.198589 , 0.198603 ,  ,  0.554169 , 0.53682 , 0.536859 ,  ,  0.746273 , 0.72291 , 0.722962 , 
217.2 , 0.185526 , 0.185422 , 0.185156 ,  ,  0.501509 , 0.501228 , 0.500509 ,  ,  0.675358 , 0.674979 , 0.674011 , 
255.8 , 0.169133 , 0.172915 , 0.172619 ,  ,  0.457197 , 0.46742 , 0.46662 ,  ,  0.615685 , 0.629452 , 0.628374 , 
294.4 , 0.155156 , 0.161199 , 0.160931 ,  ,  0.419413 , 0.43575 , 0.435025 ,  ,  0.564803 , 0.586803 , 0.585827 , 
333 , 0.143083 , 0.150264 , 0.150035 ,  ,  0.386778 , 0.40619 , 0.40557 ,  ,  0.520855 , 0.546997 , 0.546161 , 
371.6 , 0.132528 , 0.140068 , 0.139876 ,  ,  0.358245 , 0.378629 , 0.378109 ,  ,  0.482432 , 0.509881 , 0.509181 , 
410.2 , 0.123194 , 0.130564 , 0.130405 ,  ,  0.333015 , 0.352936 , 0.352508 ,  ,  0.448456 , 0.475282 , 0.474705 , 
448.8 , 0.114857 , 0.121704 , 0.121575 ,  ,  0.310477 , 0.328988 , 0.328639 ,  ,  0.418105 , 0.443032 , 0.442563 , 
487.4 , 0.107341 , 0.113447 , 0.113344 ,  ,  0.29016 , 0.306666 , 0.306388 ,  ,  0.390745 , 0.412973 , 0.412597 , 
526 , 0.100512 , 0.10575 , 0.105669 ,  ,  0.271701 , 0.28586 , 0.285642 ,  ,  0.365886 , 0.384955 , 0.384661 , 
564.6 , 0.094265 , 0.0985759 , 0.0985145 ,  ,  0.254815 , 0.266468 , 0.266302 ,  ,  0.343147 , 0.358839 , 0.358615 , 
603.2 , 0.0885181 , 0.0918891 , 0.0918441 ,  ,  0.23928 , 0.248392 , 0.24827 ,  ,  0.322227 , 0.334498 , 0.334334 , 
641.8 , 0.0832057 , 0.0856565 , 0.0856254 ,  ,  0.224919 , 0.231544 , 0.23146 ,  ,  0.302888 , 0.311809 , 0.311696 , 
680.4 , 0.0782755 , 0.0798471 , 0.0798278 ,  ,  0.211592 , 0.215841 , 0.215788 ,  ,  0.284941 , 0.290662 , 0.290592 , 
719 , 0.0736851 , 0.0744323 , 0.0744227 ,  ,  0.199183 , 0.201203 , 0.201177 ,  ,  0.268231 , 0.270951 , 0.270916 , 
757.6 , 0.0693997 , 0.0693853 , 0.0693836 ,  ,  0.187599 , 0.18756 , 0.187556 ,  ,  0.252631 , 0.252579 , 0.252572 , 
796.2 , 0.0653904 , 0.064681 , 0.0646857 ,  ,  0.176762 , 0.174844 , 0.174856 ,  ,  0.238036 , 0.235454 , 0.235471 , 
834.8 , 0.061633 , 0.0602963 , 0.0603058 ,  ,  0.166605 , 0.162991 , 0.163017 ,  ,  0.224358 , 0.219493 , 0.219527 , 
873.4 , 0.0581066 , 0.0562093 , 0.0562226 ,  ,  0.157072 , 0.151944 , 0.151979 ,  ,  0.211522 , 0.204615 , 0.204663 , 
912 , 0.0547934 , 0.0524 , 0.0524158 ,  ,  0.148116 , 0.141646 , 0.141689 ,  ,  0.199461 , 0.190748 , 0.190806 , 
950.6 , 0.0516776 , 0.0488493 , 0.0488667 ,  ,  0.139694 , 0.132048 , 0.132095 ,  ,  0.188119 , 0.177823 , 0.177886 , 
989.2 , 0.0487455 , 0.0455398 , 0.045558 ,  ,  0.131767 , 0.123102 , 0.123151 ,  ,  0.177445 , 0.165776 , 0.165842 , 
1027.8 , 0.0459844 , 0.0424551 , 0.0424733 ,  ,  0.124304 , 0.114763 , 0.114813 ,  ,  0.167394 , 0.154546 , 0.154613 , 
1066.4 , 0.0433834 , 0.0395799 , 0.0395975 ,  ,  0.117273 , 0.106991 , 0.107039 ,  ,  0.157926 , 0.14408 , 0.144144 , 
1105 , 0.0409322 , 0.0368999 , 0.0369163 ,  ,  0.110647 , 0.0997469 , 0.0997912 ,  ,  0.149003 , 0.134324 , 0.134384 , 
1143.6 , 0.0386215 , 0.034402 , 0.0344168 ,  ,  0.104401 , 0.0929946 , 0.0930344 ,  ,  0.140591 , 0.125231 , 0.125285 , 
1182.2 , 0.0364428 , 0.0320738 , 0.0320864 ,  ,  0.0985111 , 0.0867009 , 0.0867351 ,  ,  0.13266 , 0.116756 , 0.116802 , 
1220.8 , 0.0343881 , 0.0299036 , 0.0299139 ,  ,  0.0929569 , 0.0808346 , 0.0808623 ,  ,  0.125181 , 0.108856 , 0.108893 , 
1259.4 , 0.0324501 , 0.0278809 , 0.0278884 ,  ,  0.0877182 , 0.0753668 , 0.0753872 ,  ,  0.118126 , 0.101493 , 0.10152 , 
1298 , 0.0306219 , 0.0259955 , 0.0260001 ,  ,  0.0827764 , 0.0702703 , 0.0702828 ,  ,  0.111471 , 0.0946296 , 0.0946465 , 
1336.6 , 0.0288973 , 0.0242382 , 0.0242397 ,  ,  0.0781143 , 0.06552 , 0.065524 ,  ,  0.105193 , 0.0882326 , 0.088238 , 
1375.2 , 0.0272701 , 0.0226002 , 0.0225984 ,  ,  0.0737158 , 0.0610922 , 0.0610874 ,  ,  0.0992695 , 0.08227 , 0.0822635 , 
1413.8 , 0.0257348 , 0.0210735 , 0.0210683 ,  ,  0.0695657 , 0.0569653 , 0.0569512 ,  ,  0.0936807 , 0.0767124 , 0.0766935 , 
1452.4 , 0.0242862 , 0.0196505 , 0.0196418 ,  ,  0.0656497 , 0.0531186 , 0.0530951 ,  ,  0.0884073 , 0.0715322 , 0.0715006 , 
1491 , 0.0229192 , 0.0183241 , 0.0183118 ,  ,  0.0619546 , 0.0495331 , 0.0495001 ,  ,  0.0834313 , 0.0667039 , 0.0666593 , 
1529.6 , 0.0216293 , 0.0170878 , 0.017072 ,  ,  0.0584678 , 0.0461912 , 0.0461484 ,  ,  0.0787358 , 0.0622035 , 0.0621459 , 
1568.2 , 0.0204121 , 0.0159354 , 0.015916 ,  ,  0.0551775 , 0.0430763 , 0.0430238 ,  ,  0.0743048 , 0.0580087 , 0.057938 , 
1606.8 , 0.0192635 , 0.0148614 , 0.0148384 ,  ,  0.0520724 , 0.0401729 , 0.0401106 ,  ,  0.0701235 , 0.0540989 , 0.0540151 , 
1645.4 , 0.0181795 , 0.0138603 , 0.0138337 ,  ,  0.0491423 , 0.0374667 , 0.0373948 ,  ,  0.0661776 , 0.0504546 , 0.0503577 , 
1684 , 0.0171566 , 0.0129271 , 0.012897 ,  ,  0.0463771 , 0.0349443 , 0.0348628 ,  ,  0.0624538 , 0.0470578 , 0.0469481 , 
