Parameters for equation: a1*exp(-t/tau1) + a2*exp(-t/tau2)
                     or  a*ar*exp(-t/tau1) + a*(1-ar)*exp(-t/tau2)
                   a*ar=a1 ,  a*(1-ar) = a2 ,  ar = a1/(a1+a2) ,  a = a1 + a2

   iat = 4.12237   t0 = 11000

 Experimental: 
   RMS(i_sim*iat vs i_exp) = 0.000353135   tau1 = 133.75   tau2 = 666.6   a = 1   ar = 0.42   a1 = 0.42   a2 = 0.58

 LevMar Fitting: 
   RMS(i_sim/a vs i_fit/a) = 1.45893e-07   tau1 = 282.786   tau2 = 638.981   a = 0.168529   ar = 0.00887294   a1 = 0.00149535   a2 = 0.167033

 t-t0  ,  i_exp/iat  ,  i_sim  ,  i_fit  ,  ,  i_exp  ,  i_sim*iat  ,  i_fit*iat  ,  ,  i_exp/iat/a  ,  i_sim/a  ,  i_fit/a
87.5 , 0.176353 , 0.146672 , 0.146755 ,  ,  0.726991 , 0.604637 , 0.604977 ,  ,  1.04643 , 0.87031 , 0.8708 , 
126.625 , 0.155886 , 0.137952 , 0.137962 ,  ,  0.642621 , 0.568688 , 0.56873 ,  ,  0.924983 , 0.818566 , 0.818625 , 
165.75 , 0.139228 , 0.129712 , 0.129701 ,  ,  0.573947 , 0.534721 , 0.534676 ,  ,  0.826135 , 0.769674 , 0.769608 , 
204.875 , 0.12549 , 0.121964 , 0.12194 ,  ,  0.517315 , 0.502781 , 0.50268 ,  ,  0.744619 , 0.723699 , 0.723554 , 
244 , 0.114006 , 0.114679 , 0.114647 ,  ,  0.469976 , 0.47275 , 0.472616 ,  ,  0.676479 , 0.680473 , 0.680279 , 
283.125 , 0.104276 , 0.10783 , 0.107793 ,  ,  0.429863 , 0.444515 , 0.444364 ,  ,  0.618741 , 0.639831 , 0.639614 , 
322.25 , 0.0959194 , 0.10139 , 0.101353 ,  ,  0.395415 , 0.417968 , 0.417814 ,  ,  0.569157 , 0.601619 , 0.601398 , 
361.375 , 0.0886512 , 0.0953355 , 0.0952997 ,  ,  0.365453 , 0.393008 , 0.39286 ,  ,  0.52603 , 0.565693 , 0.56548 , 
400.5 , 0.082254 , 0.0896428 , 0.0896105 ,  ,  0.339081 , 0.369541 , 0.369407 ,  ,  0.488071 , 0.531914 , 0.531722 , 
439.625 , 0.0765622 , 0.0842905 , 0.0842629 ,  ,  0.315618 , 0.347476 , 0.347362 ,  ,  0.454298 , 0.500155 , 0.499991 , 
478.75 , 0.0714493 , 0.0792582 , 0.0792361 ,  ,  0.29454 , 0.326732 , 0.326641 ,  ,  0.423959 , 0.470295 , 0.470164 , 
517.875 , 0.0668177 , 0.0745268 , 0.0745108 ,  ,  0.275447 , 0.307227 , 0.307161 ,  ,  0.396476 , 0.44222 , 0.442125 , 
557 , 0.0625918 , 0.0700783 , 0.0700687 ,  ,  0.258026 , 0.288889 , 0.288849 ,  ,  0.371401 , 0.415824 , 0.415767 , 
596.125 , 0.0587125 , 0.0658958 , 0.0658925 ,  ,  0.242035 , 0.271647 , 0.271633 ,  ,  0.348383 , 0.391006 , 0.390986 , 
635.25 , 0.0551334 , 0.0619634 , 0.0619662 ,  ,  0.22728 , 0.255436 , 0.255448 ,  ,  0.327145 , 0.367672 , 0.367689 , 
674.375 , 0.0518171 , 0.0582661 , 0.0582748 ,  ,  0.213609 , 0.240194 , 0.24023 ,  ,  0.307467 , 0.345734 , 0.345785 , 
713.5 , 0.0487339 , 0.0547898 , 0.054804 ,  ,  0.200899 , 0.225864 , 0.225922 ,  ,  0.289173 , 0.325107 , 0.325191 , 
